GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,5.474481106,5.5,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2023,2023,2023,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,18441.5,18 441.5 [13 098.1-25 650.0],13098.1,25650
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,2.750451088,2.8,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,38.2,38.2 [28.9-49.1],28.9,49.1
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2016,2016,2016,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,18343.9,18 343.9 [13 717.9-23 140.1],13717.9,23140.1
SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/institutional-births-%28-%29,2017,2013,2017,AFR,Africa,NGA,Nigeria,,,,37.5,37.5,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2010,2010,2010,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,16968.3,16 968.3 [11 903.3-22 236.3],11903.3,22236.3
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2006,2006,2006,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,2146.9,2146.9 [1611.5-2666.3],1611.5,2666.3
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2012,2012,2012,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,49.6,49.6 [38.4-61.8],38.4,61.8
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2023,2023,2023,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,37.9,37.9 [27.3-52.2],27.3,52.2
